,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
31,20200617,ND,3166,86508.0,,25.0,201.0,,,,,2756.0,D,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,77,201.0,2020-06-17T00:00:00Z,140098.0,,,3166.0,38,42,981,89674,89674,1023,89674,0,1,d890ec4abaf076155aea863a47b62f539d23d3e2,0,0,0,0,0,
32,20200617,NE,17031,125356.0,,156.0,1116.0,,,,,10529.0,D,6/16/2020 20:15,2020-06-16T20:15:00Z,06/16 16:15,231,1116.0,2020-06-16T20:15:00Z,,,,17031.0,31,180,2694,142387,142387,2874,142387,11,28,97996d31ded4ce92c91f38ddb980779d5257de06,0,0,0,0,0,
33,20200617,NH,5364,94722.0,,62.0,521.0,,155.0,,,4067.0,B,6/16/2020 09:00,2020-06-16T09:00:00Z,06/16 05:00,326,521.0,2020-06-16T09:00:00Z,,,,5364.0,33,19,1194,100086,100086,1213,100086,6,2,77f9c0a5cb853b8778bb7996a89ba77a864c7d24,0,0,0,0,0,
34,20200617,NJ,167703,980138.0,,1352.0,19010.0,358.0,,254.0,,28966.0,A+,6/17/2020 13:00,2020-06-17T13:00:00Z,06/17 09:00,12769,19010.0,2020-06-17T13:00:00Z,,,,167703.0,34,277,15782,1147841,1147841,16059,1147841,42,131,0e72df24dbc5ee8d9950d2e8884ff9b31f7eb9ec,0,0,0,0,0,
35,20200617,NM,9933,261620.0,,156.0,1698.0,,,,,4217.0,C,6/16/2020 17:51,2020-06-16T17:51:00Z,06/16 13:51,447,1698.0,2020-06-16T17:51:00Z,,,,9933.0,35,88,3544,271553,271553,3632,271553,7,12,f79c03ac3c7a368dbb489ae5f6d62ebbcbd12bb0,0,0,0,0,0,
36,20200617,NV,11842,215768.0,,360.0,,96.0,,45.0,,640.0,A+,6/17/2020 12:00,2020-06-17T12:00:00Z,06/17 08:00,473,,2020-06-17T12:00:00Z,260801.0,,,11842.0,32,184,4952,227610,227610,5136,227610,6,0,a509e149b4498c6b8b713c39b1f1d23e30b16b1c,0,0,0,0,0,
37,20200617,NY,385142,2725977.0,,1479.0,89995.0,431.0,,304.0,,69085.0,A,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,24629,89995.0,2020-06-17T00:00:00Z,,,,385142.0,36,567,58774,3111119,3111119,59341,3111119,21,0,3a6e13e08b23cad07516ed3f4a0701b3946aee59,0,0,0,0,0,
38,20200617,OH,42422,542141.0,,541.0,7051.0,215.0,1797.0,148.0,,,B,6/17/2020 14:00,2020-06-17T14:00:00Z,06/17 10:00,2611,7051.0,2020-06-17T14:00:00Z,,,,39303.0,39,412,16018,584563,584563,16430,584563,14,44,ea6078930d5a3e9789f135cc61aaa8e95079d315,0,0,0,0,0,
39,20200617,OK,8904,256528.0,,181.0,1146.0,92.0,,,,6898.0,A+,6/17/2020 08:00,2020-06-17T08:00:00Z,06/17 04:00,364,1146.0,2020-06-17T08:00:00Z,267424.0,10296.0,256528.0,8904.0,40,259,3368,265432,265432,3627,265432,1,16,98ba1029a3b865d6e71c99dc21167d4d82b04823,0,0,0,0,0,
40,20200617,OR,6218,178132.0,,158.0,929.0,54.0,,26.0,,2457.0,A+,6/17/2020 03:01,2020-06-17T03:01:00Z,06/16 23:01,183,929.0,2020-06-17T03:01:00Z,,,,6007.0,41,120,4692,184350,184350,4812,184350,1,17,3507467bff38f1970ba68acf57f3417c7730f1dd,0,0,0,0,0,
41,20200617,PA,79818,533013.0,,788.0,,,,179.0,,59863.0,A+,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,6319,,2020-06-17T00:00:00Z,,,,77543.0,42,335,9404,612831,612831,9739,612831,43,0,f2382da3263cce8b03884d693a18c3c0492ec4e3,0,0,0,0,0,
42,20200617,PR,6003,,,78.0,,8.0,,1.0,,,C,6/17/2020 06:30,2020-06-17T06:30:00Z,06/17 02:30,147,,2020-06-17T06:30:00Z,61515.0,,,1486.0,72,52,0,6003,6003,52,6003,0,0,13facb5cadb073b006aec737d9ca664096a2eb94,0,0,0,0,0,
43,20200617,RI,16213,190257.0,,126.0,1898.0,17.0,,13.0,,1489.0,A+,6/17/2020 12:00,2020-06-17T12:00:00Z,06/17 08:00,876,1898.0,2020-06-17T12:00:00Z,,,,16213.0,44,49,2803,206470,206470,2852,206470,11,9,79137480aee19d96382c2da30f2d781a35a182a2,0,0,0,0,0,
44,20200617,SC,20556,252198.0,,607.0,2055.0,,,,,9734.0,A,6/16/2020 23:59,2020-06-16T23:59:00Z,06/16 19:59,617,2055.0,2020-06-16T23:59:00Z,272749.0,27792.0,244957.0,20551.0,45,566,4509,272754,272754,5075,272754,10,0,f201b80de61160d1787b5aabb36b5c41bc465b79,0,0,0,0,0,
45,20200617,SD,6050,62938.0,,91.0,570.0,,,,,5143.0,B,6/16/2020 18:00,2020-06-16T18:00:00Z,06/16 14:00,78,570.0,2020-06-16T18:00:00Z,,,,6050.0,46,84,1702,68988,68988,1786,68988,1,8,d3d0f7bf7a1870a3e7f646a52dff75ccf12e83c9,0,0,0,0,0,
46,20200617,TN,32143,612430.0,,409.0,2180.0,,,,,21282.0,B,6/17/2020 15:00,2020-06-17T15:00:00Z,06/17 11:00,497,2180.0,2020-06-17T15:00:00Z,644344.0,37420.0,606924.0,31914.0,47,313,5270,644573,644573,5583,644573,4,34,b83ff061d997e85b91fb44c6f63466d9a4ee932e,0,0,0,0,0,
47,20200617,TX,96335,1273303.0,,2793.0,,,,,,62368.0,B,6/17/2020 16:45,2020-06-17T16:45:00Z,06/17 12:45,2062,,2020-06-17T16:45:00Z,1369638.0,,,,48,3129,18067,1369638,1369638,21196,1369638,33,0,d93dc4fb5281a2e5b0c4a8907cb254c7dcff411a,0,0,0,0,0,
48,20200617,UT,15344,263348.0,,270.0,1102.0,64.0,321.0,,142.0,8552.0,A,6/17/2020 10:18,2020-06-17T10:18:00Z,06/17 06:18,149,1102.0,2020-06-17T10:18:00Z,,,,15344.0,49,407,2585,278692,278692,2992,278692,4,29,2dca014624becd62fe034bdc1edce55472ea7328,0,0,0,0,0,
49,20200617,VA,55775,438566.0,313.0,938.0,8367.0,249.0,,120.0,,7429.0,A+,6/16/2020 17:00,2020-06-16T17:00:00Z,06/16 13:00,1583,8367.0,2020-06-16T17:00:00Z,491884.0,,,53318.0,51,444,8459,494654,494341,8903,494341,13,122,6e876a34049775254d5e8825a81d76ca709ad3e3,0,0,0,0,0,
50,20200617,VI,73,2354.0,13.0,,,,,,,64.0,C,6/17/2020 08:34,2020-06-17T08:34:00Z,06/17 04:34,6,,2020-06-17T08:34:00Z,,,,73.0,78,0,49,2440,2427,49,2427,0,0,a6ede343a5604ccedf15db02bc8eeb61ff02c267,0,0,0,0,0,
51,20200617,VT,1130,52533.0,,5.0,,,,,,915.0,B,6/17/2020 00:00,2020-06-17T00:00:00Z,06/16 20:00,55,,2020-06-17T00:00:00Z,,,,1130.0,50,-1,774,53663,53663,773,53663,0,0,0cf0867cbab0d7cbb6315ef5da21dd582de12982,0,0,0,0,0,
52,20200617,WA,26531,453495.0,,256.0,3915.0,,,47.0,,,B,6/16/2020 02:59,2020-06-16T02:59:00Z,06/15 22:59,1231,3915.0,2020-06-16T02:59:00Z,,,,26531.0,53,373,8388,480026,480026,8761,480026,10,21,f6c4bb61caf2ae4e152d9d85d55dd25b26ff4423,0,0,0,0,0,
53,20200617,WI,23454,423736.0,179.0,244.0,3128.0,94.0,696.0,,,17613.0,A+,6/17/2020 16:00,2020-06-17T16:00:00Z,06/17 12:00,712,3128.0,2020-06-17T16:00:00Z,,,,23454.0,55,256,9406,447369,447190,9662,447190,9,32,18cebb66bc1d1bb2cc1a0c70a851cd402d3cdea8,0,0,0,0,0,
54,20200617,WV,2376,138994.0,,23.0,,7.0,,2.0,,1654.0,B,6/17/2020 17:00,2020-06-17T17:00:00Z,06/17 13:00,88,,2020-06-17T17:00:00Z,,,,2295.0,54,35,4264,141370,141370,4299,141370,0,0,2586d5229ecc2a5aa1471dd7813a1da24e7d7e81,0,0,0,0,0,
55,20200617,WY,1114,33955.0,,7.0,97.0,,,,,862.0,C,6/17/2020 18:00,2020-06-17T18:00:00Z,06/17 14:00,18,97.0,2020-06-17T18:00:00Z,34839.0,1025.0,33164.0,884.0,56,25,631,35069,35069,656,35069,0,1,5a32fd35ab5b95dc3ca891800ef05d5f8bc39172,0,0,0,0,0,
